Country or region,Highest point,Maximum elevation,Lowest point,Minimum elevation,Elevation span
Ukraine,Hoverla,"2061 m
6,762 ft",Kuyalnik Estuary,"−5 m
−16 ft","2066 m
6,778 ft"
United Arab Emirates,Jabal Al Jais,"1910 m
6,266 ft","Persian Gulf
Gulf of Oman",sea level,"1910 m
6,266 ft"
United Kingdom,Ben Nevis,"1345 m
4,413 ft",Holme Fen,"−4 m
−13 ft","1349 m
4,426 ft"
United States,Denali,"6190.5 m
20,310 ft",Badwater Basin,"−85.5 m
−281 ft","6276 m
20,591 ft"
United States Minor Outlying Islands,Unnamed hill on Sand Island (Johnston Atoll),"13 m
43 ft",Pacific Ocean,sea level,"13 m
43 ft"
Uruguay,Cerro Catedral,"514 m
1,685 ft",South Atlantic Ocean,sea level,"514 m
1,685 ft"
Uzbekistan,Alpomish,"4668 m
15,315 ft",Sariqarnish Kuli,"−12 m
−39 ft","4680 m
15,354 ft"
Vanuatu,Mount Tabwemasana on Espiritu Santo,"1877 m
6,158 ft",South Pacific Ocean,sea level,"1877 m
6,158 ft"
Vatican City,Vatican Hill,"75 m
246 ft",Saint Peter's Square,"33 m
108 ft","42 m
138 ft"
Venezuela,Pico Bolívar,"4978 m
16,332 ft","Lagunillas Municipality, Zulia","−12 m
−39 ft","4990 m
16,371 ft"
Vietnam,Fansipan,"3143 m
10,312 ft","South China Sea
Gulf of Thailand",sea level,"3143 m
10,312 ft"
British Virgin Islands,Mount Sage on Tortola,"521 m
1,709 ft",Caribbean Sea,sea level,"521 m
1,709 ft"
United States Virgin Islands,Crown Mountain on Saint Thomas,"474 m
1,555 ft",Caribbean Sea,sea level,"474 m
1,555 ft"
Wallis and Futuna,Mont Puke on Futuna,"524 m
1,719 ft",South Pacific Ocean,sea level,"524 m
1,719 ft"
Yemen,Jabal An-Nabi Shu'ayb,"3666 m
12,028 ft",Arabian Sea,sea level,"3666 m
12,028 ft"
Zambia,Mafinga Central,"2329 m
7,641 ft",Zambezi,"329 m
1,079 ft","2000 m
6,562 ft"
Zimbabwe,Mount Nyangani,"2592 m
8,504 ft",Confluence of Runde River and Save River,"162 m
531 ft","2430 m
7,972 ft"
Earth,Mount Everest,"8848 m
29,029 ft",Dead Sea,"−428 m
−1,404 ft","9,276 m
30,433 ft"
