Country,National anthem,Date adopted (de jure),Lyricist,Composer/Artist,Audio,Length,Ref.
Spain,"""La Marcha Real""
(""The Royal March"")","1770
1939",Alfonso XIII,Manuel de Espinosa de los Monteros,"""La Marcha Real""",0m 54s,
Sri Lanka,"""Sri Lanka Matha""
(""Mother Sri Lanka"")",1951,"Ananda Samarakoon (Sinhala)
M. Nallathambi (Tamil)",Ananda Samarakoon,"""Sri Lanka Matha""",2m 53s,
Sudan,"""Nahnu Jund Allah Jund Al-watan""
(""We Are the Army of God and of Our Land"")",1956,Sayyed Ahmed Mohammed Salih,Ahmad Murjan,"""Nahnu Jund Allah Jund Al-watan""",0m 46s,
Suriname,"""God zij met ons Suriname""
(""God Be With Our Suriname"")",1959,Cornelis Atses Hoekstra and Henry de Ziel,Johannes Corstianus de Puy,"""God zij met ons Suriname""",0m 54s,
Sweden,"""Du gamla, du fria""
(""Thou Ancient, Thou Free"")",1866 de facto (never adopted de jure),Richard Dybeck,folk tune,"""Du gamla, du fria""",1m 28s,
Switzerland,"""Schweizerpsalm""
(""Swiss Psalm"")","1961 (de facto)
1981 (de jure)","Leonhard Widmer (German),
Charles Chatelanat (French),
Camillo Valsangiacomo (Italian),
and Flurin Camathias (Romansch)",Alberich Zwyssig,"""Schweizerpsalm""",1m 24s,
Syria,"""Humāt ad-Diyār""
(""Guardians of the Homeland"")",1936,Khalil Mardam Bey,Mohammed Flayfel and Ahmad Salim Flayfel,"""Humāt ad-Diyār""",1m 6s,
Tajikistan,"""Surudi Milli""
(""National Anthem"")",1991,Gulnazar Keldi,Suleiman Yudakov,"""Surudi Milli""",1m 55s,
Tanzania,"""Mungu ibariki Afrika""
(""God Bless Africa"")",1961,collectively,Enoch Sontonga,"""Mungu ibariki Afrika""",0m 52s,
Thailand,"""Phleng Chat""
(""National Song"")",1939,Luang Saranupraphan,Peter Feit,"""Phleng Chat""",0m 44s,
Togo,"""Salut à toi, pays de nos aïeux""
(""Hail to Thee, Land of our Forefathers"")",1960,Alex Casimir-Dosseh,Alex Casimir-Dosseh,"""Salut à toi, pays de nos aïeux""",0m 52s,
Tonga,"""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga""
(""Song of the King of the Tonga Islands"")",1875,Uelingatoni Ngū Tupoumalohi,Carl Gustav Schmitt,"""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga""",0m 49s,
Trinidad and Tobago,"""Forged from the Love of Liberty""",1962,Patrick Castagne,Patrick Castagne,"""Forged from the Love of Liberty""",1m 15s,
Tunisia,"""Humat al-Hima""
(""Defenders of the Homeland"")",1987,Mustafa Sadiq Al-Rafi'i and Aboul-Qacem Echebbi,Mohammed Abdel Wahab,"""Humat al-Hima""",0m 52s,
Turkey,"""İstiklâl Marşı""
(""The March of Independence"")",1921,Mehmet Akif Ersoy,Osman Zeki Üngör,"""İstiklâl Marşı""",1m 5s,
Turkmenistan,"""Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni""
(""The State Anthem of Independent and Neutral Turkmenistan"")","1996 (original version)
2008 (current version)",collectively,Veli Mukhatov,"""Türkmenbaşyň guran beýik binasy""",2m 0s,
Tuvalu,"""Tuvalu mo te Atua""
(""Tuvalu for the Almighty"")",1978,Afaese Manoa,Afaese Manoa,"""Tuvalu mo te Atua""",1m 4s,
Uganda,"""Oh Uganda, Land of Beauty""",1962,George Wilberforce Kakoma,George Wilberforce Kakoma,"""Oh Uganda, Land of Beauty""",0m 44s,
Ukraine,"""Shche ne vmerla Ukraina""
(""Ukraine's Glory Has Not Perished"")",1917,Pavlo Chubynsky,Mykhaylo Verbytsky,"""Shche ne vmerla Ukrainy""",1m 20s,
United Arab Emirates,"""Ishy Biladi""
(""Long Live my Homeland"")",1971,Arif Al Sheikh Abdullah Al Hassan,Saad Abdel Wahab,"""Ishy Biladi""",0m 48s,
United Kingdom,"""God Save the King""",1745,Henry Carey,Unknown,"""God Save the King""",1m 3s,
United States,"""The Star-Spangled Banner""",1931,Francis Scott Key,John Stafford Smith,"""The Star-Spangled Banner""",1m 18s,
Uruguay,"""Himno Nacional""
(""National Anthem"")",1833,Francisco Acuña de Figueroa,Francisco José Debali,"""Himno Nacional""",4m 30s,
Uzbekistan,"""Oʻzbekiston Respublikasining Davlat Madhiyasi""
(""National Anthem of the Republic of Uzbekistan"")",1991,Abdulla Aripov,Mutal Burhanov,"""Oʻzbekiston Respublikasining Davlat Madhiyasi""",2m 29s,
Vanuatu,"""Yumi, Yumi, Yumi""
(""We, We, We"")",1980,François Vincent Ayssav,François Vincent Ayssav,"""Yumi, Yumi, Yumi""",0m 59s,
Vatican City,"""Marche Pontificale""
(""Pontifical Anthem and March"")",1950,Antonio Allegra,Charles Gounod,"""Marche Pontificale""",3m 13s,
Venezuela,"""Gloria al Bravo Pueblo""
(""Glory to the Brave People"")",1881,Vicente Salias,Juan José Landaeta,"""Gloria al Bravo Pueblo""",1m 31s,
Vietnam,"""Tiến Quân Ca""
(""Marching Song"")",1945,Văn Cao,Văn Cao,"""Tiến Quân Ca""",1m 12s,
Yemen,"""National anthem of Yemen""",1990,Abdallah Abdulwahab Noman,Ayoob Tarish,"""National anthem of Yemen""",0m 49s,
Zambia,"""Stand and Sing of Zambia, Proud and Free""",1964,collectively,Enoch Sontonga,"""National anthem of Zambia""",1m 57s,
Zimbabwe,"""Simudzai Mureza WeZimbabwe""
(""O Lift High the Banner of Zimbabwe"")",1994,Solomon Mutswairo,Fred Changundega,"""Simudzai Mureza wedu WeZimbabwe""",0m 46s,
